date,open,high,low,close,volume
2024-01-01,2300,2321.17,2263.61,2284.64,1802.71
2024-01-02,2284.64,2386.49,2262.25,2363.32,1673.41
2024-01-03,2363.32,2463.42,2345.28,2444.76,1087.49
2024-01-04,2444.76,2451.54,2415.33,2422.05,995.89
2024-01-05,2422.05,2459.33,2268.43,2303.89,1353.17
2024-01-06,2303.89,2380.96,2246.44,2323.03,2268.09
2024-01-07,2323.03,2342.6,2244.97,2264.05,2606.86
2024-01-08,2264.05,2420.3,2240.79,2395.7,1766.23
2024-01-09,2395.7,2438.41,2378.7,2421.23,1336.91
2024-01-10,2421.23,2468.65,2396.06,2443.25,1731.65
2024-01-11,2443.25,2475.77,2369.46,2401.43,1781.38
2024-01-12,2401.43,2434.34,2395.61,2428.45,1186.31
2024-01-13,2428.45,2470.28,2358.39,2399.72,1357.14
2024-01-14,2399.72,2424.03,2312.06,2335.71,1479.95
2024-01-15,2335.71,2433.08,2273.08,2369.54,1274.01
2024-01-16,2369.54,2393.0,2273.45,2296.19,2526.67
2024-01-17,2296.19,2329.97,2259.24,2292.97,2196.67
2024-01-18,2292.97,2379.67,2263.95,2349.93,2229.63
2024-01-19,2349.93,2442.39,2309.92,2401.51,1005.01
2024-01-20,2401.51,2465.53,2283.33,2345.88,1899.17
2024-01-21,2345.88,2420.14,2320.04,2393.78,2063.15
2024-01-22,2393.78,2425.49,2289.41,2320.14,1792.76
2024-01-23,2320.14,2502.9,2235.29,2414.6,1940.45
2024-01-24,2414.6,2427.79,2393.32,2406.47,1830.05
2024-01-25,2406.47,2515.55,2171.34,2274.43,2806.96
2024-01-26,2274.43,2313.9,2225.54,2264.84,1794.69
2024-01-27,2264.84,2351.34,2258.43,2344.71,1327.33
2024-01-28,2344.71,2378.13,2334.83,2368.16,2025.61
2024-01-29,2368.16,2434.19,2344.81,2410.43,1539.71
2024-01-30,2410.43,2449.51,2397.57,2436.52,1552.59
2024-01-31,2436.52,2464.31,2271.78,2298.0,2832.53
2024-02-01,2298.0,2365.74,2272.79,2340.07,1583.77
2024-02-02,2340.07,2407.89,2188.4,2253.72,2772.81
2024-02-03,2253.72,2304.63,2233.2,2283.83,1244.96
2024-02-04,2283.83,2345.18,2236.74,2297.8,1704.25
2024-02-05,2297.8,2306.87,2294.06,2303.12,1412.23
2024-02-06,2303.12,2342.36,2209.9,2248.2,2541.52
2024-02-07,2248.2,2293.55,2179.51,2224.38,1805.7
2024-02-08,2224.38,2236.32,2208.37,2220.28,2089.72
2024-02-09,2220.28,2332.7,2140.3,2251.58,2133.22
2024-02-10,2251.58,2277.18,2179.4,2204.46,1103.16
2024-02-11,2204.46,2215.09,2184.09,2194.67,926.05
2024-02-12,2194.67,2233.61,2171.95,2210.72,1350.69
2024-02-13,2210.72,2218.45,2210.44,2218.17,1039.07
2024-02-14,2218.17,2298.36,2195.58,2275.18,1007.53
2024-02-15,2275.18,2389.29,2235.05,2347.88,1265.64
2024-02-16,2347.88,2392.73,2308.84,2353.59,1335.32
2024-02-17,2353.59,2518.68,2296.15,2458.67,2972.64
2024-02-18,2458.67,2469.46,2372.35,2382.81,1147.38
2024-02-19,2382.81,2466.23,2359.28,2442.12,1403.75
2024-02-20,2442.12,2493.07,2419.17,2469.86,907.99
2024-02-21,2469.86,2580.76,2453.35,2563.61,1310.5
2024-02-22,2563.61,2566.51,2550.88,2553.77,1586.65
2024-02-23,2553.77,2725.85,2541.42,2712.73,2658.42
2024-02-24,2712.73,2761.91,2666.17,2715.31,1041.72
2024-02-25,2715.31,2797.35,2655.6,2737.16,2012.37
2024-02-26,2737.16,2767.87,2686.81,2717.29,2048.53
2024-02-27,2717.29,2893.81,2708.24,2884.2,2876.16
2024-02-28,2884.2,3031.2,2806.73,2951.92,1327.33
2024-02-29,2951.92,2957.43,2872.87,2878.24,1008.41
2024-03-01,2878.24,2963.21,2870.92,2955.69,1413.17
2024-03-02,2955.69,3080.32,2764.4,2886.09,1694.76
2024-03-03,2886.09,3197.11,2826.52,3132.45,3596.3
2024-03-04,3132.45,3162.36,3068.52,3098.1,1215.62
2024-03-05,3098.1,3164.0,3062.49,3128.05,1803.11
2024-03-06,3128.05,3349.45,3064.81,3283.08,2054.61
2024-03-07,3283.08,3369.96,3107.33,3191.79,1123.05
2024-03-08,3191.79,3298.43,2986.22,3089.45,2381.38
2024-03-09,3089.45,3162.36,3026.03,3098.76,1075.24
2024-03-10,3098.76,3177.43,3050.11,3128.33,2067.82
2024-03-11,3128.33,3240.68,3118.31,3230.34,1717.23
2024-03-12,3230.34,3419.08,3199.69,3386.95,1440.61
2024-03-13,3386.95,3462.91,3361.96,3437.54,2313.74
2024-03-14,3437.54,3500.69,3404.92,3467.78,2094.87
2024-03-15,3467.78,3640.8,3456.51,3629.0,1770.56
2024-03-16,3629.0,3639.42,3574.25,3584.54,900.3
2024-03-17,3584.54,3765.84,3567.54,3748.06,2098.22
2024-03-18,3748.06,3898.58,3718.91,3868.49,2539.8
2024-03-19,3868.49,3959.43,3825.93,3916.34,1266.62
2024-03-20,3916.34,3966.74,3853.97,3904.22,1661.17
2024-03-21,3904.22,3981.22,3831.1,3908.04,991.21
2024-03-22,3908.04,4047.63,3872.82,4011.48,1746.65
2024-03-23,4011.48,4089.71,3722.81,3796.85,1983.38
2024-03-24,3796.85,3965.36,3756.98,3924.16,1958.87
2024-03-25,3924.16,3926.18,3910.22,3912.23,1450.62
2024-03-26,3912.23,3932.77,3906.52,3927.05,1976.98
2024-03-27,3927.05,4072.14,3856.32,4000.1,2085.43
2024-03-28,4000.1,4022.32,3889.01,3910.73,1798.38
2024-03-29,3910.73,3952.82,3687.71,3727.83,1303.46
2024-03-30,3727.83,3746.59,3640.52,3658.93,1363.28
2024-03-31,3658.93,3764.74,3581.29,3686.51,1682.06
2024-04-01,3686.51,3858.28,3540.33,3711.13,1496.45
2024-04-02,3711.13,3762.63,3569.68,3619.91,1815.33
2024-04-03,3619.91,3686.84,3520.53,3586.85,1659.62
2024-04-04,3586.85,3608.01,3321.86,3341.58,2752.04
2024-04-05,3341.58,3626.38,3241.01,3520.43,1661.59
2024-04-06,3520.43,3575.88,3241.31,3293.19,2996.41
2024-04-07,3293.19,3356.76,3270.28,3333.57,1558.17
2024-04-08,3333.57,3427.82,3313.97,3407.78,1063.08
2024-04-09,3407.78,3501.71,3236.93,3328.67,2437.66
2024-04-10,3328.67,3506.25,3250.21,3425.51,2125.7
2024-04-11,3425.51,3669.43,3325.62,3565.46,2858.73
2024-04-12,3565.46,3781.22,3409.91,3623.15,1533.29
2024-04-13,3623.15,3638.95,3287.9,3302.3,3357.8
2024-04-14,3302.3,3419.27,3248.65,3364.61,1751.55
2024-04-15,3364.61,3398.48,3302.33,3335.91,1330.95
2024-04-16,3335.91,3350.68,3324.18,3338.94,1587.12
2024-04-17,3338.94,3343.13,3323.29,3327.47,1298.83
2024-04-18,3327.47,3377.88,3199.28,3248.49,1059.01
2024-04-19,3248.49,3435.53,3238.84,3425.36,3101.38
2024-04-20,3425.36,3525.5,3395.72,3495.26,995.08
2024-04-21,3495.26,3565.78,3446.12,3516.35,1028.75
2024-04-22,3516.35,3581.75,3255.43,3317.13,2828.85
2024-04-23,3317.13,3353.39,3283.21,3319.45,2098.53
