date,open,high,low,close,volume
2024-01-01,42000,42108.93,41803.0,41911.71,1204.97
2024-01-02,41911.71,43284.05,40899.49,42263.34,1864.66
2024-01-03,42263.34,42853.24,42093.86,42682.08,1500.92
2024-01-04,42682.08,43574.25,42598.38,43488.95,1735.48
2024-01-05,43488.95,44350.18,43416.87,44276.78,1957.64
2024-01-06,44276.78,44407.38,43475.37,43603.99,1822.51
2024-01-07,43603.99,43797.58,43534.45,43727.84,1971.96
2024-01-08,43727.84,44294.57,42925.85,43489.5,1062.05
2024-01-09,43489.5,44682.31,43332.52,44521.61,1106.38
2024-01-10,44521.61,47150.76,43782.12,46380.39,2194.72
2024-01-11,46380.39,48202.54,45326.73,47131.8,1751.71
2024-01-12,47131.8,48479.97,47015.88,48361.02,1901.02
2024-01-13,48361.02,50166.13,47476.68,49265.26,2306.51
2024-01-14,49265.26,49804.3,47148.41,47670.0,1088.01
2024-01-15,47670.0,48498.87,47084.63,47910.55,948.51
2024-01-16,47910.55,48408.01,47580.86,48077.16,1222.25
2024-01-17,48077.16,48594.5,46922.73,47433.13,1459.53
2024-01-18,47433.13,48325.28,46890.43,47778.62,2234.34
2024-01-19,47778.62,48566.17,46139.96,46913.24,1190.23
2024-01-20,46913.24,47351.84,46496.5,46934.9,1336.15
2024-01-21,46934.9,48792.66,46868.7,48723.94,2061.45
2024-01-22,48723.94,50012.99,46642.46,47909.98,2138.51
2024-01-23,47909.98,48254.69,47727.99,48072.09,1275.24
2024-01-24,48072.09,48598.11,47578.75,48104.45,2131.49
2024-01-25,48104.45,49424.2,47664.72,48976.51,1966.72
2024-01-26,48976.51,49970.1,46002.24,46954.82,1918.71
2024-01-27,46954.82,47527.86,46427.07,46999.6,1598.02
2024-01-28,46999.6,47935.86,46068.13,47004.29,2058.59
2024-01-29,47004.29,47297.43,46178.41,46468.21,2396.97
2024-01-30,46468.21,46486.41,46075.19,46093.25,921.86
2024-01-31,46093.25,48111.39,45475.58,47475.2,2366.77
2024-02-01,47475.2,47596.42,47112.65,47233.25,1388.67
2024-02-02,47233.25,48842.58,47212.06,48820.67,2740.13
2024-02-03,48820.67,49170.42,48735.27,49084.56,1887.23
2024-02-04,49084.56,49915.4,47775.8,48598.42,1266.54
2024-02-05,48598.42,48872.97,48098.73,48372.01,1461.17
2024-02-06,48372.01,48887.87,45160.4,45647.2,2939.28
2024-02-07,45647.2,46480.1,44843.19,45675.59,1055.34
2024-02-08,45675.59,48544.34,44952.7,47788.02,1668.4
2024-02-09,47788.02,48540.76,46148.38,46886.92,1166.93
2024-02-10,46886.92,48028.69,46013.92,47150.77,1975.17
2024-02-11,47150.77,47267.5,47146.24,47262.95,1277.68
2024-02-12,47262.95,50324.99,47063.85,50113.88,3009.92
2024-02-13,50113.88,51373.63,49552.45,50804.46,978.23
2024-02-14,50804.46,54529.56,49523.49,53188.48,1265.25
2024-02-15,53188.48,53215.04,52836.17,52862.57,1956.26
2024-02-16,52862.57,53522.73,52448.93,53107.18,1519.64
2024-02-17,53107.18,53299.64,52103.96,52293.47,2269.18
2024-02-18,52293.47,52544.79,51422.25,51670.58,1703.2
2024-02-19,51670.58,52252.4,51155.26,51736.43,1249.01
2024-02-20,51736.43,53820.84,51702.17,53785.22,1861.09
2024-02-21,53785.22,53830.38,53245.29,53290.03,1196.67
2024-02-22,53290.03,54196.0,51646.49,52539.7,1248.56
2024-02-23,52539.7,53112.93,52242.54,52814.21,1753.91
2024-02-24,52814.21,55098.38,51108.74,53374.8,2173.62
2024-02-25,53374.8,54706.84,53120.59,54447.52,2015.78
2024-02-26,54447.52,55225.0,54023.33,54798.09,2218.39
2024-02-27,54798.09,55199.53,53198.14,53590.74,2233.09
2024-02-28,53590.74,54578.58,53101.98,54085.31,1004.79
2024-02-29,54085.31,54442.81,52635.7,52985.92,1690.25
2024-03-01,52985.92,54164.62,51734.31,52911.34,2202.36
2024-03-02,52911.34,54668.85,52444.29,54190.51,1521.62
2024-03-03,54190.51,55518.23,53721.06,55041.41,1200.24
